,notification,item_text,main_work_center,created_on,created_at,completion_by_date,completion_time,user_status,system_status,problem_group_text,problem_code_text,malfunction_end,malfunction_end_time,malfunction_start,malfunction_start_time,description,code_group_text,coding_code_text,day_max_temp,day_min_temp,day_wind,lag_1_max_temp,lag_1_min_temp,lag_1_wind,rolling_3d_max_avg_temp,rolling_3d_min_avg_temp,rolling_3d_wind,rolling_7d_max_avg_temp,rolling_7d_min_avg_temp,rolling_7d_wind,area_name,kunda_risk_penalty,kunda_risk_factor
12,999159,"00:10,02:44",PLANT_03,2024-03-23,8:29:47,3/6/2026,19:59:14,NEW,TECO,Software,Sensor Fault,38.91,7:39:47,7/6/2025,0:38:48,First usually partner same then put skin.,Mechanical Issue,E01,30.4,22.4,20.8,31.4,22.7,22.7,32.3,21.87,19.2,32.87,20.07,17.89,Nazimabad,0.0349,Medium
13,275203,"00:31,05:05",PLANT_02,2024-02-05,22:26:03,1/2/2026,9:39:31,IN_PROGRESS,CNF,Software,Short Circuit,33.4,8:32:17,11/7/2024,13:06:21,Again turn thank former.,Hydraulic Issue,S04,25.4,16.3,15.1,26.1,19.8,19.8,26.3,19.0,17.13,27.06,18.31,16.07,Surjani,0.1585,High
14,291335,"00:17,05:27",PLANT_01,2023-12-22,7:02:45,1/18/2026,1:57:28,ON_HOLD,CLSD,Mechanical,Motor Failure,42.31,8:18:53,2/3/2025,15:08:57,Finish top data character.,Hydraulic Issue,M02,27.9,17.4,13.3,26.9,13.4,13.2,26.43,14.93,18.23,26.79,14.97,17.69,Korangi,0.21,Extreme
15,378167,"00:19,05:29",PLANT_02,2024-03-03,18:27:04,11/15/2025,15:36:28,ON_HOLD,CNF,Hydraulic,Leak,29.12,19:33:27,1/14/2025,13:06:07,Film at perhaps firm toward.,Mechanical Issue,S04,20.2,10.0,24.7,20.2,13.4,29.9,24.93,16.37,20.1,27.17,16.37,23.46,Surjani,0.1585,High
16,141090,"00:07,02:30|00:07,02:30",PLANT_03,2025-04-02,19:13:19,2/24/2026,12:15:52,NEW,CLSD,Hydraulic,Short Circuit,50.38,15:19:17,9/4/2025,13:56:40,Little region face big no too charge.,Electrical Issue,E01,36.0,19.1,9.4,36.9,20.5,12.9,35.03,18.87,13.2,33.59,19.69,15.97,Nazimabad,0.0349,Medium
17,429365,"00:01,03:00",PLANT_01,2025-10-26,3:16:48,10/29/2025,23:27:14,COMPLETED,CNF,Electrical,Leak,13.37,12:54:26,3/26/2025,19:34:44,Budget travel important no pick record.,Hydraulic Issue,M02,35.7,21.1,16.8,36.6,21.1,12.2,36.5,21.03,11.73,36.13,21.24,12.54,Korangi,0.21,Extreme
18,164820,"00:30,02:46",PLANT_01,2025-06-12,19:21:37,12/31/2025,20:31:03,ON_HOLD,REL,Mechanical,Motor Failure,50.3,2:10:36,5/21/2025,0:36:09,Ready tough wish professional chair.,Mechanical Issue,S04,33.4,28.1,23.8,33.5,28.2,24.5,33.47,27.93,25.93,33.43,27.74,24.04,Korangi,0.21,Extreme
19,887201,"00:26,02:11",PLANT_03,2025-10-05,23:39:08,2/20/2026,11:25:24,ON_HOLD,TECO,Electrical,Short Circuit,29.93,17:11:46,2/23/2025,12:44:10,Best always they list local short.,Software Issue,E01,31.4,25.8,19.7,31.8,25.1,22.1,33.4,26.03,20.5,34.9,25.97,17.96,Nazimabad,0.0349,Medium
20,421879,"00:20,02:21",MAINT_01,2025-10-19,15:14:56,3/21/2026,21:42:04,NEW,TECO,Hydraulic,Leak,63.01,8:38:32,7/2/2025,1:15:00,Read stand us once consider thus wife water.,Electrical Issue,S04,34.7,21.2,12.5,35.6,20.5,11.7,35.67,21.2,13.07,34.14,21.67,13.56,Clifton,-0.1087,Very Secure
21,818315,"00:25,03:01",MAINT_01,2025-02-28,8:50:55,2/4/2026,8:35:51,NEW,CNF,Software,Sensor Fault,37.34,3:37:28,3/27/2025,0:02:27,Gas fund be have concern perhaps quality.,Mechanical Issue,E01,27.6,21.2,24.3,27.1,19.2,14.2,29.1,18.47,10.97,29.36,18.07,10.51,Clifton,-0.1087,Very Secure
22,427069,"18:01,01:06",PLANT_02,2025-03-30,15:35:52,1/4/2026,13:29:20,COMPLETED,CLSD,Hydraulic,Sensor Fault,70.08,8:37:41,8/20/2025,1:53:01,Book various whether culture.,Mechanical Issue,S04,34.3,18.0,14.7,34.3,19.9,12.0,33.43,19.6,17.2,32.46,20.64,17.46,Surjani,0.1585,High
23,876997,"16:01,00:58",PLANT_01,2024-12-04,2:44:30,11/17/2025,4:12:29,NEW,CNF,Mechanical,Motor Failure,43.54,22:10:42,4/1/2025,19:07:41,Factor society skill great worker manager.,Electrical Issue,E01,29.7,20.3,18.5,30.2,19.2,16.9,29.93,18.43,12.93,30.19,19.59,11.57,Korangi,0.21,Extreme
24,299041,"00:10,03:05",PLANT_02,2024-05-28,1:22:43,4/8/2026,18:27:04,COMPLETED,TECO,Electrical,Short Circuit,16.51,20:30:13,1/31/2025,18:18:45,Through individual college surface court exactly minute trouble.,Mechanical Issue,E01,34.5,28.3,34.9,34.4,27.9,30.5,34.53,27.7,25.57,35.07,27.66,25.13,Surjani,0.1585,High
25,891743,"03:01,01:53",PLANT_01,2024-06-04,17:40:49,1/25/2026,14:26:31,NEW,CLSD,Software,Leak,59.26,8:45:20,11/16/2024,11:45:29,Five cold power red enjoy you front.,Software Issue,S04,32.6,27.6,28.4,33.0,27.4,22.1,35.1,27.3,21.03,37.4,27.69,26.09,Korangi,0.21,Extreme
26,203355,"00:10,06:53",PLANT_03,2024-02-21,7:14:00,3/25/2026,0:27:04,ON_HOLD,REL,Hydraulic,Leak,25.17,19:54:46,4/23/2025,15:50:18,Seek service leader bag necessary.,Electrical Issue,M02,27.3,19.2,21.9,26.4,19.1,20.8,27.03,20.17,24.7,28.34,16.56,18.54,Nazimabad,0.0349,Medium
27,335796,"00:25,01:36",PLANT_01,2025-03-30,11:11:51,3/11/2026,18:40:33,NEW,REL,Software,Sensor Fault,25.35,17:31:53,1/16/2025,15:07:33,The unit action off.,Electrical Issue,M02,34.3,18.0,14.7,34.3,19.9,12.0,33.43,19.6,17.2,32.46,20.64,17.46,Korangi,0.21,Extreme
28,314176,"00:10,06:15",PLANT_01,2025-03-23,4:47:35,1/10/2026,0:23:06,IN_PROGRESS,CLSD,Software,Motor Failure,2.77,2:10:10,6/17/2025,5:49:39,Herself toward here along public.,Mechanical Issue,M02,34.2,21.4,14.5,32.5,21.3,14.2,34.63,21.87,10.77,34.49,21.01,9.7,Korangi,0.21,Extreme
29,284779,"00:20,04:38",PLANT_03,2024-03-04,23:05:17,12/13/2025,3:27:33,ON_HOLD,CNF,Software,Short Circuit,39.73,6:12:02,11/13/2024,23:59:32,Friend sort table six imagine garden.,Mechanical Issue,S04,24.4,8.4,16.1,20.2,10.0,24.7,21.3,13.97,23.17,25.87,15.73,24.79,Nazimabad,0.0349,Medium
30,447449,"00:22,04:38",MAINT_01,2024-07-19,5:50:36,12/3/2025,7:38:13,IN_PROGRESS,TECO,Software,Sensor Fault,38.71,19:22:33,4/9/2025,11:18:35,Rest need major entire tree try.,Mechanical Issue,H03,34.5,29.3,20.2,35.0,30.1,17.8,37.73,29.53,19.5,35.24,29.19,24.87,Clifton,-0.1087,Very Secure
31,521909,"00:20,04:44",PLANT_03,2024-04-09,6:03:27,11/19/2025,14:00:27,IN_PROGRESS,CLSD,Software,Sensor Fault,25.95,16:12:48,1/16/2025,2:05:55,South tree technology time.,Software Issue,S04,34.5,22.6,20.9,34.6,20.2,16.5,32.33,21.73,19.87,31.49,22.53,21.56,Nazimabad,0.0349,Medium
32,358795,"00:20,03:37",PLANT_01,2025-10-18,11:18:14,3/31/2026,0:49:46,NEW,CNF,Hydraulic,Sensor Fault,64.44,1:00:30,9/13/2025,15:06:42,Specific south blood.,Electrical Issue,S04,35.6,20.5,11.7,35.9,21.0,13.0,35.1,21.8,14.6,33.6,21.87,13.3,Korangi,0.21,Extreme
33,586232,"00:40,05:39",PLANT_03,2025-05-30,14:22:22,12/6/2025,13:56:49,NEW,CLSD,Software,Leak,9.71,9:39:12,5/12/2025,17:05:36,Computer assume occur down.,Software Issue,E01,39.2,28.9,34.0,40.8,27.3,19.3,36.83,27.7,21.0,35.51,27.84,22.33,Nazimabad,0.0349,Medium
34,600186,"00:34,02:46",PLANT_01,2024-04-19,16:35:42,3/26/2026,2:35:12,IN_PROGRESS,CLSD,Hydraulic,Motor Failure,24.1,4:25:35,8/9/2025,18:22:30,Tell act add southern.,Mechanical Issue,M02,29.4,23.6,30.5,30.0,24.8,23.5,32.63,24.13,17.47,31.66,23.87,16.3,Korangi,0.21,Extreme
35,256730,"00:01,22:38",MAINT_01,2024-10-24,15:33:05,12/2/2025,19:25:17,ON_HOLD,TECO,Hydraulic,Sensor Fault,23.49,11:31:52,12/7/2024,15:58:52,Audience old whole wide piece former professor partner.,Electrical Issue,S04,37.1,23.2,13.5,34.3,24.7,18.4,35.07,24.67,18.1,35.57,25.1,16.34,Clifton,-0.1087,Very Secure
36,970910,"00:01,06:37",MAINT_01,2024-07-18,23:17:17,12/28/2025,1:33:19,NEW,REL,Software,Sensor Fault,7.1,9:27:11,10/17/2025,20:18:01,Region current second ball.,Hydraulic Issue,H03,35.0,30.1,17.8,42.1,29.6,21.0,37.4,29.0,19.73,35.17,29.04,26.76,Clifton,-0.1087,Very Secure
37,484681,"00:30,04:17",PLANT_01,2024-12-20,9:46:09,3/14/2026,4:05:08,ON_HOLD,REL,Electrical,Leak,34.9,15:00:41,6/8/2025,17:57:15,Responsibility before item rate.,Mechanical Issue,M02,24.3,13.3,16.1,25.1,12.1,12.8,25.77,12.23,13.03,25.57,12.34,13.9,Korangi,0.21,Extreme
38,249503,"00:30,05:22",MAINT_01,2024-10-04,7:01:15,11/6/2025,2:26:47,NEW,REL,Mechanical,Short Circuit,49.68,15:22:48,12/14/2024,9:39:11,Anyone bag fly more live.,Software Issue,E01,31.6,26.7,27.0,31.7,26.4,26.4,32.07,26.33,24.0,32.04,26.39,22.73,Clifton,-0.1087,Very Secure
39,754811,"03:01,01:29",PLANT_03,2025-10-16,14:08:26,2/19/2026,13:18:36,IN_PROGRESS,REL,Software,Short Circuit,37.08,20:07:26,5/13/2025,1:26:39,Remain manager relationship light rule.,Software Issue,S04,35.5,22.1,14.5,33.9,22.3,16.3,33.03,22.23,14.8,32.34,21.91,12.24,Nazimabad,0.0349,Medium
40,627035,"02:01,22:13",MAINT_01,2024-01-31,5:59:03,2/26/2026,19:22:09,IN_PROGRESS,TECO,Mechanical,Short Circuit,11.72,6:28:32,10/10/2025,6:05:15,Ten article continue according compare culture century my.,Mechanical Issue,S04,26.3,18.9,16.2,26.6,18.2,12.7,26.3,16.2,13.57,25.77,14.6,14.19,Clifton,-0.1087,Very Secure
41,748143,"00:01,02:27",PLANT_02,2025-08-05,14:24:34,11/20/2025,13:12:34,NEW,CNF,Hydraulic,Leak,27.48,10:45:26,11/4/2024,5:26:22,Record reflect away cost focus.,Electrical Issue,E01,30.3,26.2,24.2,31.1,26.0,22.1,30.87,26.13,22.03,31.29,26.57,22.04,Surjani,0.1585,High
42,552366,"04:01,11:13",MAINT_01,2023-12-16,20:18:40,4/7/2026,22:19:44,IN_PROGRESS,CLSD,Electrical,Leak,0.69,1:22:28,3/15/2025,5:37:33,Class play or own media.,Hydraulic Issue,E01,28.2,14.9,13.5,26.9,14.4,12.7,27.5,15.27,14.7,27.47,15.16,12.66,Clifton,-0.1087,Very Secure
43,165725,"00:10,03:26",PLANT_02,2024-08-15,18:32:14,1/19/2026,10:37:19,NEW,TECO,Hydraulic,Motor Failure,62.58,3:38:51,8/9/2025,7:53:24,Design economy general drive according.,Software Issue,M02,31.5,27.3,23.8,31.5,27.3,21.0,31.47,27.33,21.23,31.47,27.39,25.23,Surjani,0.1585,High
44,229981,"01:01,18:41",PLANT_03,2025-04-05,5:05:49,2/12/2026,6:22:21,COMPLETED,REL,Electrical,Short Circuit,6.54,4:22:08,2/26/2025,5:36:21,Example claim article management total.,Mechanical Issue,H03,35.3,22.7,19.1,35.6,21.6,13.5,35.63,20.17,11.6,35.19,19.57,12.34,Nazimabad,0.0349,Medium
45,184654,"00:09,04:37",MAINT_01,2024-10-12,10:38:56,1/27/2026,9:07:30,NEW,REL,Hydraulic,Leak,43.21,9:58:00,3/6/2025,15:34:59,People stage bag share.,Hydraulic Issue,E01,37.0,24.5,14.3,38.9,26.4,16.5,38.03,25.7,15.57,35.86,25.36,16.34,Clifton,-0.1087,Very Secure
46,691723,"00:01,06:11",MAINT_01,2024-08-24,17:56:03,4/20/2026,6:55:14,ON_HOLD,TECO,Electrical,Short Circuit,71.02,12:22:46,8/4/2025,12:52:30,Activity season because open trouble guess race.,Electrical Issue,H03,32.5,26.9,24.9,32.3,27.4,24.2,32.27,27.33,24.13,31.7,27.1,22.09,Clifton,-0.1087,Very Secure
47,419030,"00:20,04:29",MAINT_01,2024-08-23,3:39:43,10/29/2025,16:53:25,IN_PROGRESS,CLSD,Hydraulic,Motor Failure,38.87,17:03:35,11/20/2024,4:14:45,Notice road five group.,Hydraulic Issue,H03,32.3,27.4,24.2,32.8,27.1,23.2,32.1,27.13,24.37,31.51,27.04,21.7,Clifton,-0.1087,Very Secure
48,428947,"00:10,03:05",PLANT_03,2024-12-22,9:36:09,3/10/2026,17:13:10,NEW,TECO,Mechanical,Sensor Fault,66.57,5:37:59,11/15/2024,19:51:34,Have feel major national seat direction color.,Mechanical Issue,S04,24.3,11.2,11.4,24.0,11.3,15.6,24.47,12.23,14.83,25.29,12.07,13.56,Nazimabad,0.0349,Medium
49,655839,"00:18,01:59",PLANT_03,2024-01-28,15:52:24,2/5/2026,2:11:16,NEW,CLSD,Electrical,Short Circuit,17.38,6:38:37,1/13/2025,22:05:59,Important they food someone war idea.,Electrical Issue,E01,24.7,12.3,13.6,26.2,15.1,18.7,25.53,13.87,15.47,25.67,14.14,13.64,Nazimabad,0.0349,Medium
50,373538,"00:45,06:36",PLANT_02,2024-06-16,23:19:45,1/14/2026,22:57:45,NEW,TECO,Electrical,Sensor Fault,54.84,11:44:04,5/11/2025,11:17:29,Laugh center seek information agency cause first.,Software Issue,E01,33.8,28.7,22.3,34.3,28.8,19.0,34.0,28.67,24.23,33.7,28.24,26.03,Surjani,0.1585,High
51,431236,"00:08,02:08",PLANT_01,2023-12-22,19:12:44,2/11/2026,10:16:28,ON_HOLD,CNF,Electrical,Sensor Fault,38.49,20:00:30,10/23/2025,7:25:48,Change hand its stage town character watch describe.,Hydraulic Issue,M02,27.9,17.4,13.3,26.9,13.4,13.2,26.43,14.93,18.23,26.79,14.97,17.69,Korangi,0.21,Extreme
52,628178,"00:22,04:45",PLANT_03,2024-10-03,15:57:15,4/13/2026,12:25:02,IN_PROGRESS,REL,Hydraulic,Motor Failure,52.02,20:06:28,8/30/2025,22:51:44,Hospital change front.,Software Issue,H03,31.7,26.4,26.4,32.1,26.6,23.2,32.13,26.27,22.07,32.14,26.39,21.81,Nazimabad,0.0349,Medium
53,665894,"00:08,02:08",MAINT_01,2024-11-10,13:32:45,3/18/2026,14:29:34,NEW,CNF,Electrical,Motor Failure,4.96,14:01:56,3/21/2025,22:27:18,Market citizen stop.,Hydraulic Issue,H03,30.8,22.9,15.1,31.1,23.6,13.5,31.5,24.0,15.23,32.46,23.4,13.5,Clifton,-0.1087,Very Secure
54,589492,"00:25,05:28",PLANT_02,2024-01-30,8:23:21,4/10/2026,23:21:43,IN_PROGRESS,TECO,Mechanical,Sensor Fault,11.06,8:31:20,7/17/2025,7:04:58,Everyone couple parent material itself surface maintain.,Mechanical Issue,M02,26.6,18.2,12.7,27.6,18.1,14.4,26.17,15.17,15.57,25.81,14.07,14.19,Surjani,0.1585,High
55,356840,"00:28,02:47",MAINT_01,2025-06-26,12:12:32,3/2/2026,3:40:30,ON_HOLD,CNF,Hydraulic,Short Circuit,10.02,23:04:02,2/11/2025,22:32:55,Government black well relationship.,Hydraulic Issue,M02,35.0,27.4,10.1,33.3,27.2,11.9,33.5,27.77,15.17,33.0,28.16,21.53,Clifton,-0.1087,Very Secure
56,573254,"00:18,04:45",MAINT_01,2024-12-05,21:25:19,11/29/2025,10:53:39,COMPLETED,CLSD,Mechanical,Sensor Fault,49.63,19:17:13,12/26/2024,6:04:25,Eye dog wall sound indicate actually final city.,Mechanical Issue,M02,28.3,16.8,11.1,29.7,20.3,18.5,30.03,19.1,15.63,30.14,19.59,12.56,Clifton,-0.1087,Very Secure
57,449457,"00:17,05:29",PLANT_03,2024-12-31,8:01:55,3/24/2026,7:30:55,ON_HOLD,TECO,Hydraulic,Leak,60.88,11:37:46,3/13/2025,14:30:48,Financial peace particularly out morning game health read.,Software Issue,S04,26.1,11.7,10.6,25.2,12.6,13.4,25.07,10.67,12.3,24.47,11.3,14.09,Nazimabad,0.0349,Medium
58,765987,"05:01,05:27",PLANT_01,2025-05-12,18:43:29,11/16/2025,0:38:52,COMPLETED,CLSD,Hydraulic,Leak,54.1,6:05:40,3/28/2025,0:11:36,Hard wife as language.,Electrical Issue,M02,32.8,26.6,20.1,32.9,26.4,19.8,33.67,26.33,16.03,34.37,26.0,13.5,Korangi,0.21,Extreme
59,370936,"00:30,03:38",MAINT_01,2024-01-31,23:26:36,2/24/2026,21:37:36,NEW,CNF,Hydraulic,Leak,2.68,13:24:42,5/18/2025,6:46:28,Early war read travel total plant.,Electrical Issue,M02,26.3,18.9,16.2,26.6,18.2,12.7,26.3,16.2,13.57,25.77,14.6,14.19,Clifton,-0.1087,Very Secure
60,339931,"00:18,02:53",PLANT_03,2024-10-30,21:18:17,2/15/2026,2:53:20,IN_PROGRESS,REL,Hydraulic,Leak,62.51,10:37:52,1/27/2025,13:42:47,Skill never officer former create camera focus.,Electrical Issue,E01,32.4,23.7,17.0,33.1,24.6,15.2,35.27,24.67,15.2,35.86,24.66,16.17,Nazimabad,0.0349,Medium
61,339629,"18:01,00:44",PLANT_02,2025-07-24,0:12:30,12/25/2025,17:50:41,COMPLETED,TECO,Mechanical,Motor Failure,25.82,22:44:22,11/1/2024,8:53:23,Occur treat remain participant spend eat none three.,Hydraulic Issue,S04,32.6,27.5,20.7,31.5,28.1,27.3,32.73,27.8,21.37,32.73,27.76,19.56,Surjani,0.1585,High
62,305041,"00:18,06:27",MAINT_01,2025-06-27,11:15:56,4/5/2026,8:06:37,IN_PROGRESS,CLSD,Mechanical,Short Circuit,28.9,16:50:05,9/2/2025,17:11:19,Memory believe seek perhaps ball make.,Software Issue,E01,36.7,27.0,12.5,35.0,27.4,10.1,33.93,27.5,12.5,33.33,28.0,18.41,Clifton,-0.1087,Very Secure
63,798361,"00:19,02:00",PLANT_02,2024-11-10,1:58:17,1/12/2026,11:05:31,NEW,CNF,Hydraulic,Motor Failure,8.0,5:44:54,7/31/2025,21:17:08,Too water road at hope cover show Republican.,Software Issue,S04,30.8,22.9,15.1,31.1,23.6,13.5,31.5,24.0,15.23,32.46,23.4,13.5,Surjani,0.1585,High
64,831912,"15:01,00:45",PLANT_03,2024-06-07,4:31:34,2/15/2026,14:41:15,IN_PROGRESS,TECO,Electrical,Leak,53.22,11:22:18,5/8/2025,15:46:25,Summer arrive east plan force station.,Mechanical Issue,S04,33.3,27.9,23.3,33.5,28.2,26.6,33.03,27.93,28.53,34.59,27.6,24.59,Nazimabad,0.0349,Medium
65,517113,"05:01,06:42",PLANT_03,2024-02-24,22:47:09,3/2/2026,17:41:58,COMPLETED,REL,Hydraulic,Sensor Fault,13.53,0:05:14,4/29/2025,14:15:49,No situation what machine fire third customer.,Hydraulic Issue,H03,30.5,16.0,17.7,28.5,11.2,15.5,28.3,15.67,18.77,27.99,17.33,20.51,Nazimabad,0.0349,Medium
66,168148,"00:10,03:04",PLANT_03,2025-09-11,19:26:51,12/12/2025,15:54:12,NEW,TECO,Hydraulic,Leak,40.82,22:46:34,8/13/2025,10:40:28,Whatever our build safe save.,Hydraulic Issue,S04,29.2,24.9,16.1,29.0,25.0,20.7,28.33,25.3,19.87,30.2,25.36,19.44,Nazimabad,0.0349,Medium
67,877089,"00:10,06:26",PLANT_03,2024-04-10,17:41:15,1/8/2026,8:27:19,NEW,REL,Hydraulic,Sensor Fault,60.61,2:19:01,11/12/2024,16:23:36,Model mean eat heavy red.,Software Issue,H03,31.4,22.7,18.4,34.5,22.6,20.9,33.63,21.43,19.3,32.11,22.53,21.33,Nazimabad,0.0349,Medium
68,748531,"00:27,02:24",PLANT_03,2025-09-20,10:11:22,12/29/2025,18:25:14,COMPLETED,CNF,Software,Short Circuit,6.88,7:54:06,2/8/2025,11:55:10,Fear daughter fast.,Software Issue,S04,30.2,24.9,17.6,30.3,25.0,15.6,30.53,25.33,14.93,30.34,25.67,19.41,Nazimabad,0.0349,Medium
69,351995,"06:01,03:23",PLANT_01,2024-11-11,21:44:51,12/20/2025,17:59:38,IN_PROGRESS,CLSD,Software,Leak,38.78,21:08:08,11/5/2024,0:23:24,Prepare several bad.,Electrical Issue,S04,31.1,23.0,13.9,30.8,22.9,15.1,31.2,23.67,14.27,32.24,23.23,14.13,Korangi,0.21,Extreme
70,778843,"01:60,00:39",PLANT_02,2024-05-23,7:33:40,3/22/2026,8:03:07,ON_HOLD,TECO,Electrical,Leak,17.17,16:50:21,6/16/2025,4:28:42,Simply year land high church know finish.,Software Issue,E01,34.8,27.2,23.6,35.8,28.3,25.9,35.67,27.93,25.77,35.43,26.86,23.57,Surjani,0.1585,High
71,672843,"00:18,04:05",PLANT_01,2023-12-25,14:28:48,11/22/2025,23:44:05,IN_PROGRESS,TECO,Software,Leak,25.02,9:25:47,7/6/2025,12:02:40,Lay cup paper expect only.,Software Issue,S04,28.7,16.4,17.0,28.9,17.3,24.0,28.57,16.53,18.47,27.36,15.67,19.26,Korangi,0.21,Extreme
72,356508,"00:01,03:28",PLANT_02,2024-03-20,3:14:34,2/14/2026,19:05:04,COMPLETED,CLSD,Mechanical,Leak,34.39,14:13:02,11/9/2024,4:56:50,What buy test need hard firm.,Software Issue,S04,32.8,20.6,14.8,34.4,20.9,19.2,33.9,19.4,17.07,32.21,18.34,19.23,Surjani,0.1585,High
73,903591,"00:30,02:41",MAINT_01,2025-09-27,2:53:47,4/6/2026,17:51:39,IN_PROGRESS,TECO,Software,Short Circuit,25.89,2:43:25,7/29/2025,16:08:20,Nearly pick position how force structure.,Mechanical Issue,H03,33.1,24.0,14.7,32.2,24.1,11.6,30.63,24.87,15.53,30.4,25.1,18.4,Clifton,-0.1087,Very Secure
74,996942,"00:33,09:13",MAINT_01,2024-05-16,10:40:15,1/29/2026,9:58:33,ON_HOLD,TECO,Mechanical,Leak,46.89,7:58:23,8/21/2025,23:34:37,Poor food series.,Software Issue,E01,34.5,25.9,21.2,35.8,25.9,18.7,34.5,25.2,16.03,33.77,25.34,16.79,Clifton,-0.1087,Very Secure
